"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"3353","332","3101","293","2141","192","165","90","0","12","658","192","0","12","36","36","101","84","25","29","76","66","252","122","115","72","0","12","0","12","0","12","0","12","100","88","37","34","15","18","22","27","1500000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California"
"1031","151","870","116","727","103","0","12","0","12","100","57","0","12","0","12","43","26","0","12","43","26","161","96","79","63","0","12","0","12","0","12","0","12","10","14","72","101","72","101","0","12","1500000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California"
"913","147","860","144","640","135","40","44","0","12","101","60","0","12","6","10","73","59","0","12","73","59","53","43","38","36","0","12","0","12","9","14","0","12","0","12","6","9","0","12","6","9","1500000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California"
"1447","654","1392","651","891","225","128","131","0","12","318","371","0","12","0","12","55","53","0","12","55","53","55","63","7","14","0","12","0","12","0","12","0","12","48","60","0","12","0","12","0","12","1500000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California"
"938","208","840","209","594","140","74","74","15","24","105","77","0","12","0","12","52","67","0","12","52","67","98","66","56","55","0","12","0","12","11","18","0","12","14","13","17","27","17","27","0","12","1500000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California"
"1120","273","895","269","604","237","275","141","0","12","16","24","0","12","0","12","0","12","0","12","0","12","225","132","195","141","0","12","0","12","0","12","0","12","20","32","10","16","4","10","6","11","1500000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California"
"1871","267","1865","269","1408","300","288","190","0","12","135","94","0","12","0","12","34","37","0","12","34","37","6","12","6","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California"
"1538","267","1342","229","1037","199","0","12","22","35","126","88","0","12","68","71","89","59","7","12","82","54","196","118","196","118","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California"
"1347","240","1194","225","586","139","511","147","0","12","88","54","0","12","0","12","9","14","0","12","9","14","153","108","127","105","15","22","0","12","0","12","0","12","11","16","0","12","0","12","0","12","1500000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California"
"1267","288","1165","285","854","217","78","66","0","12","122","84","0","12","0","12","111","85","0","12","111","85","102","85","102","85","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California"
"1807","305","1491","265","973","206","422","206","0","12","28","28","0","12","7","12","61","60","0","12","61","60","316","191","265","189","0","12","9","14","0","12","0","12","9","14","33","32","21","26","12","19","1500000US060014005001","Block Group 1, Census Tract 4005, Alameda County, California"
"934","236","897","233","505","200","186","95","0","12","121","131","0","12","9","15","76","54","0","12","76","54","37","38","19","22","0","12","0","12","0","12","0","12","9","14","9","15","0","12","9","15","1500000US060014005002","Block Group 2, Census Tract 4005, Alameda County, California"
"877","336","699","341","239","83","392","308","0","12","49","57","0","12","0","12","19","22","0","12","19","22","178","118","93","117","0","12","0","12","0","12","0","12","31","27","54","42","23","36","31","49","1500000US060014005003","Block Group 3, Census Tract 4005, Alameda County, California"
"1177","204","1013","220","356","89","505","181","0","12","72","52","0","12","0","12","80","100","0","12","80","100","164","133","46","33","0","12","0","12","0","12","0","12","118","124","0","12","0","12","0","12","1500000US060014006001","Block Group 1, Census Tract 4006, Alameda County, California"
"514","134","458","128","188","81","164","93","0","12","33","38","0","12","0","12","73","64","4","8","69","64","56","39","25","19","0","12","10","15","0","12","0","12","10","16","11","17","11","17","0","12","1500000US060014006002","Block Group 2, Census Tract 4006, Alameda County, California"
"1138","368","1002","330","250","167","658","254","0","12","65","61","0","12","0","12","29","52","0","12","29","52","136","100","70","96","27","34","0","12","0","12","0","12","32","47","7","11","0","12","7","11","1500000US060014007001","Block Group 1, Census Tract 4007, Alameda County, California"
"1202","315","1173","318","498","186","543","264","0","12","57","47","0","12","0","12","75","62","0","12","75","62","29","39","29","39","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014007002","Block Group 2, Census Tract 4007, Alameda County, California"
"601","302","546","291","169","74","210","168","0","12","10","17","0","12","17","26","140","210","140","210","0","12","55","47","44","43","0","12","0","12","0","12","0","12","11","16","0","12","0","12","0","12","1500000US060014007003","Block Group 3, Census Tract 4007, Alameda County, California"
"1121","364","886","230","214","92","547","217","0","12","39","62","0","12","0","12","86","114","0","12","86","114","235","237","150","138","0","12","0","12","0","12","0","12","7","12","78","111","0","12","78","111","1500000US060014007004","Block Group 4, Census Tract 4007, Alameda County, California"
"916","258","784","217","289","111","332","160","0","12","157","133","0","12","0","12","6","11","0","12","6","11","132","120","47","80","49","79","0","12","0","12","0","12","27","35","9","15","0","12","9","15","1500000US060014008001","Block Group 1, Census Tract 4008, Alameda County, California"
"1036","258","712","198","379","158","308","145","0","12","25","40","0","12","0","12","0","12","0","12","0","12","324","190","313","190","0","12","0","12","0","12","0","12","11","17","0","12","0","12","0","12","1500000US060014008002","Block Group 2, Census Tract 4008, Alameda County, California"
"1119","289","1017","286","364","115","451","241","0","12","147","95","11","18","16","26","28","30","0","12","28","30","102","107","50","66","0","12","0","12","0","12","0","12","52","82","0","12","0","12","0","12","1500000US060014008003","Block Group 3, Census Tract 4008, Alameda County, California"
"1228","241","1166","240","448","222","565","191","0","12","147","134","0","12","0","12","6","12","0","12","6","12","62","54","62","54","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014009001","Block Group 1, Census Tract 4009, Alameda County, California"
"950","231","922","228","574","198","308","183","0","12","15","19","0","12","0","12","25","26","0","12","25","26","28","30","20","21","0","12","0","12","0","12","0","12","0","12","8","13","0","12","8","13","1500000US060014009002","Block Group 2, Census Tract 4009, Alameda County, California"
"789","379","644","367","185","125","354","330","0","12","26","42","79","120","0","12","0","12","0","12","0","12","145","160","145","160","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014010001","Block Group 1, Census Tract 4010, Alameda County, California"
"1106","528","749","385","197","132","377","257","0","12","79","105","0","12","0","12","96","108","0","12","96","108","357","376","23","35","0","12","0","12","0","12","0","12","317","379","17","26","0","12","17","26","1500000US060014010002","Block Group 2, Census Tract 4010, Alameda County, California"
"1234","348","900","269","324","151","470","247","0","12","19","31","0","12","0","12","87","141","0","12","87","141","334","296","0","12","0","12","0","12","0","12","0","12","130","138","204","265","0","12","204","265","1500000US060014010003","Block Group 3, Census Tract 4010, Alameda County, California"
"550","276","449","239","127","96","303","216","0","12","12","19","0","12","0","12","7","12","0","12","7","12","101","111","42","70","0","12","0","12","0","12","0","12","0","12","59","93","59","93","0","12","1500000US060014010004","Block Group 4, Census Tract 4010, Alameda County, California"
"589","281","427","198","44","46","331","194","0","12","2","4","12","22","0","12","38","63","0","12","38","63","162","216","150","216","12","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014010005","Block Group 5, Census Tract 4010, Alameda County, California"
"739","190","670","177","305","184","294","143","0","12","56","63","0","12","0","12","15","24","0","12","15","24","69","54","34","39","15","25","0","12","0","12","0","12","20","33","0","12","0","12","0","12","1500000US060014010006","Block Group 6, Census Tract 4010, Alameda County, California"
"599","160","518","122","315","106","92","62","0","12","59","44","0","12","0","12","52","40","0","12","52","40","81","78","46","45","0","12","0","12","0","12","0","12","13","20","22","36","0","12","22","36","1500000US060014011001","Block Group 1, Census Tract 4011, Alameda County, California"
"1469","304","1124","250","772","197","199","118","8","13","33","31","37","60","0","12","75","58","0","12","75","58","345","185","252","183","0","12","0","12","16","27","0","12","14","23","63","67","14","23","49","63","1500000US060014011002","Block Group 2, Census Tract 4011, Alameda County, California"
"1140","351","1091","352","641","275","255","143","0","12","175","210","0","12","0","12","20","32","0","12","20","32","49","58","22","36","0","12","0","12","0","12","0","12","14","22","13","21","13","21","0","12","1500000US060014011003","Block Group 3, Census Tract 4011, Alameda County, California"
"846","259","730","266","197","109","376","201","0","12","81","65","0","12","0","12","76","75","0","12","76","75","116","125","116","125","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014011004","Block Group 4, Census Tract 4011, Alameda County, California"
"955","233","742","192","569","170","23","37","0","12","66","50","29","42","0","12","55","49","0","12","55","49","213","189","27","25","0","12","0","12","0","12","0","12","60","84","126","175","113","174","13","29","1500000US060014012001","Block Group 1, Census Tract 4012, Alameda County, California"
"957","173","887","182","415","121","317","150","0","12","100","78","1","3","0","12","54","48","0","12","54","48","70","46","21","21","1","4","0","12","0","12","0","12","3","7","45","41","34","39","11","17","1500000US060014012002","Block Group 2, Census Tract 4012, Alameda County, California"
"544","165","544","165","303","108","136","105","5","8","93","86","0","12","0","12","7","11","0","12","7","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014012003","Block Group 3, Census Tract 4012, Alameda County, California"
"1363","235","1185","231","278","85","569","199","0","12","324","166","1","2","0","12","13","16","0","12","13","16","178","118","120","105","4","6","0","12","0","12","0","12","25","30","29","30","1","2","28","29","1500000US060014013001","Block Group 1, Census Tract 4013, Alameda County, California"
"1542","607","1072","475","341","167","418","345","31","28","221","92","0","12","0","12","61","41","0","12","61","41","470","208","282","166","10","16","0","12","0","12","0","12","141","145","37","35","10","16","27","32","1500000US060014013002","Block Group 2, Census Tract 4013, Alameda County, California"
"1078","277","930","269","226","84","361","147","0","12","282","244","0","12","0","12","61","53","10","16","51","49","148","103","90","95","0","12","0","12","0","12","0","12","38","29","20","23","20","23","0","12","1500000US060014013003","Block Group 3, Census Tract 4013, Alameda County, California"
"1174","637","738","337","288","286","409","159","9","51","14","24","0","12","10","17","8","12","0","12","8","12","436","562","102","117","0","12","0","12","0","12","0","12","334","545","0","12","0","12","0","12","1500000US060014014001","Block Group 1, Census Tract 4014, Alameda County, California"
"2025","376","1628","377","260","88","978","361","0","12","307","197","27","38","0","12","56","60","0","12","56","60","397","267","326","258","0","12","11","20","8","16","0","12","38","44","14","22","14","22","0","12","1500000US060014014002","Block Group 2, Census Tract 4014, Alameda County, California"
"1141","280","993","292","165","97","515","199","0","12","272","180","0","12","0","12","41","48","0","12","41","48","148","125","115","111","0","12","0","12","0","12","0","12","16","25","17","40","0","12","17","40","1500000US060014014003","Block Group 3, Census Tract 4014, Alameda County, California"
"600","144","568","142","170","73","296","120","0","12","97","70","0","12","0","12","5","9","0","12","5","9","32","35","21","31","0","12","0","12","0","12","0","12","11","14","0","12","0","12","0","12","1500000US060014015001","Block Group 1, Census Tract 4015, Alameda County, California"
"644","204","622","204","194","102","343","155","0","12","70","88","0","12","0","12","15","23","0","12","15","23","22","28","17","26","0","12","0","12","0","12","0","12","0","12","5","8","0","12","5","8","1500000US060014015002","Block Group 2, Census Tract 4015, Alameda County, California"
"836","325","700","305","199","205","425","246","0","12","48","48","0","12","0","12","28","35","0","12","28","35","136","92","103","84","0","12","4","6","0","12","0","12","26","42","3","6","0","12","3","6","1500000US060014015003","Block Group 3, Census Tract 4015, Alameda County, California"
"1035","322","823","279","219","126","442","219","0","12","142","148","0","12","0","12","20","47","0","12","20","47","212","138","174","134","0","12","5","9","0","12","0","12","21","29","12","19","0","12","12","19","1500000US060014016001","Block Group 1, Census Tract 4016, Alameda County, California"
"854","301","792","298","105","62","518","308","0","12","105","83","38","64","0","12","26","28","0","12","26","28","62","60","48","57","0","12","0","12","0","12","0","12","9","19","5","7","5","7","0","12","1500000US060014016002","Block Group 2, Census Tract 4016, Alameda County, California"
"864","287","536","135","202","86","164","100","0","12","127","106","0","12","0","12","43","47","0","12","43","47","328","259","154","148","0","12","0","12","0","12","0","12","174","238","0","12","0","12","0","12","1500000US060014017001","Block Group 1, Census Tract 4017, Alameda County, California"
"1620","313","1023","303","338","129","456","245","0","12","162","95","0","12","10","17","57","50","18","28","39","42","597","196","474","186","0","12","0","12","0","12","0","12","111","114","12","18","0","12","12","18","1500000US060014017002","Block Group 2, Census Tract 4017, Alameda County, California"
"60","39","40","44","13","31","14","31","0","12","13","30","0","12","0","12","0","12","0","12","0","12","20","37","5","12","0","12","0","12","0","12","0","12","15","35","0","12","0","12","0","12","1500000US060014017003","Block Group 3, Census Tract 4017, Alameda County, California"
"1166","393","844","353","353","293","365","191","0","12","6","10","0","12","0","12","120","128","0","12","120","128","322","201","179","166","23","39","1","3","0","12","0","12","57","65","62","102","0","12","62","102","1500000US060014018001","Block Group 1, Census Tract 4018, Alameda County, California"
"946","288","910","277","125","98","737","284","0","12","39","42","0","12","9","14","0","12","0","12","0","12","36","57","36","57","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014018002","Block Group 2, Census Tract 4018, Alameda County, California"
"995","356","718","211","78","46","568","203","0","12","66","68","0","12","0","12","6","9","0","12","6","9","277","361","264","361","0","12","0","12","0","12","0","12","0","12","13","20","13","20","0","12","1500000US060014022001","Block Group 1, Census Tract 4022, Alameda County, California"
"948","223","699","149","162","81","306","119","0","12","158","121","0","12","0","12","73","66","0","12","73","66","249","187","216","193","1","5","0","12","0","12","0","12","32","37","0","12","0","12","0","12","1500000US060014022002","Block Group 2, Census Tract 4022, Alameda County, California"
"562","202","427","181","196","109","151","116","8","12","0","12","61","73","0","12","11","17","0","12","11","17","135","90","125","88","0","12","0","12","0","12","0","12","10","60","0","12","0","12","0","12","1500000US060014022003","Block Group 3, Census Tract 4022, Alameda County, California"
"1595","525","1436","497","220","131","976","527","16","26","42","46","0","12","51","85","131","96","0","12","131","96","159","177","4","20","4","7","0","12","0","12","0","12","11","17","140","173","16","26","124","167","1500000US060014024001","Block Group 1, Census Tract 4024, Alameda County, California"
"1506","463","1503","464","35","39","1290","454","0","12","149","67","0","12","0","12","29","44","0","12","29","44","3","9","1","9","2","4","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014024002","Block Group 2, Census Tract 4024, Alameda County, California"
"1105","262","920","217","96","78","721","206","0","12","66","50","0","12","0","12","37","43","2","7","35","43","185","136","122","118","0","12","0","12","0","12","0","12","63","66","0","12","0","12","0","12","1500000US060014025001","Block Group 1, Census Tract 4025, Alameda County, California"
"921","242","728","215","35","39","628","206","0","12","54","64","0","12","0","12","11","17","0","12","11","17","193","163","31","52","0","12","13","20","0","12","0","12","12","19","137","152","110","147","27","41","1500000US060014025002","Block Group 2, Census Tract 4025, Alameda County, California"
"955","97","918","92","124","57","238","88","5","6","545","99","0","12","6","9","0","12","0","12","0","12","37","38","19","33","0","12","0","12","0","12","0","12","11","17","7","11","0","12","7","11","1500000US060014026001","Block Group 1, Census Tract 4026, Alameda County, California"
"595","200","369","138","164","116","124","57","4","8","71","72","0","12","0","12","6","9","0","12","6","9","226","185","211","185","10","17","0","12","0","12","0","12","5","9","0","12","0","12","0","12","1500000US060014027001","Block Group 1, Census Tract 4027, Alameda County, California"
"988","211","944","205","146","78","798","192","0","12","0","12","0","12","0","12","0","12","0","12","0","12","44","43","9","13","0","12","10","12","0","12","0","12","0","12","25","34","0","12","25","34","1500000US060014027002","Block Group 2, Census Tract 4027, Alameda County, California"
"1298","207","1132","192","273","100","594","153","0","12","234","120","22","52","0","12","9","14","0","12","9","14","166","103","73","61","10","15","0","12","10","16","0","12","53","72","20","31","0","12","20","31","1500000US060014028001","Block Group 1, Census Tract 4028, Alameda County, California"
"1746","241","1627","251","502","150","726","182","0","12","235","75","0","12","0","12","164","96","0","12","164","96","119","64","36","35","14","23","15","25","0","12","0","12","29","27","25","31","0","12","25","31","1500000US060014028002","Block Group 2, Census Tract 4028, Alameda County, California"
"1254","139","1135","129","326","79","185","73","9","14","572","128","0","12","0","12","43","30","0","12","43","30","119","57","43","35","0","12","12","20","13","20","0","12","38","36","13","15","5","8","8","12","1500000US060014029001","Block Group 1, Census Tract 4029, Alameda County, California"
"1289","262","1277","263","90","62","7","12","38","29","1109","251","0","12","0","12","33","45","0","12","33","45","12","19","12","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014030001","Block Group 1, Census Tract 4030, Alameda County, California"
"1079","242","1057","240","57","56","86","89","0","12","914","231","0","12","0","12","0","12","0","12","0","12","22","51","22","51","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014030002","Block Group 2, Census Tract 4030, Alameda County, California"
"1535","184","1364","173","368","132","263","104","15","26","621","113","8","12","0","12","89","58","6","12","83","52","171","111","76","89","0","12","0","12","0","12","0","12","95","59","0","12","0","12","0","12","1500000US060014031001","Block Group 1, Census Tract 4031, Alameda County, California"
"2539","422","2251","404","938","250","296","186","0","12","834","312","0","12","0","12","183","177","35","56","148","167","288","194","118","109","0","12","0","12","0","12","0","12","170","188","0","12","0","12","0","12","1500000US060014033001","Block Group 1, Census Tract 4033, Alameda County, California"
"1501","408","1476","405","62","37","0","12","0","12","1414","413","0","12","0","12","0","12","0","12","0","12","25","37","0","12","0","12","0","12","0","12","0","12","25","37","0","12","0","12","0","12","1500000US060014033002","Block Group 2, Census Tract 4033, Alameda County, California"
"889","176","876","180","293","104","210","126","13","23","239","108","0","12","0","12","121","107","0","12","121","107","13","19","13","19","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014034001","Block Group 1, Census Tract 4034, Alameda County, California"
"992","247","942","240","350","121","174","113","0","12","304","209","0","12","0","12","114","67","0","12","114","67","50","61","43","58","0","12","0","12","0","12","0","12","0","12","7","13","0","12","7","13","1500000US060014034002","Block Group 2, Census Tract 4034, Alameda County, California"
"1153","257","988","215","302","169","238","109","23","36","352","102","0","12","0","12","73","100","0","12","73","100","165","154","146","151","0","12","0","12","0","12","0","12","19","30","0","12","0","12","0","12","1500000US060014034003","Block Group 3, Census Tract 4034, Alameda County, California"
"1284","356","871","233","342","145","319","200","0","12","179","110","0","12","0","12","31","37","0","12","31","37","413","327","34","55","0","12","0","12","0","12","0","12","340","320","39","63","39","63","0","12","1500000US060014034004","Block Group 4, Census Tract 4034, Alameda County, California"
"2053","388","1890","388","534","243","376","230","22","34","919","204","0","12","0","12","39","44","0","12","39","44","163","169","58","42","0","12","0","12","0","12","0","12","52","80","53","82","53","82","0","12","1500000US060014035011","Block Group 1, Census Tract 4035.01, Alameda County, California"
"1550","387","1341","306","635","214","457","205","0","12","60","76","0","12","0","12","189","117","0","12","189","117","209","157","72","51","55","100","16","26","0","12","0","12","0","12","66","93","59","94","7","17","1500000US060014035012","Block Group 2, Census Tract 4035.01, Alameda County, California"
"575","274","548","273","82","61","402","256","0","12","64","88","0","12","0","12","0","12","0","12","0","12","27","41","0","12","0","12","0","12","0","12","0","12","0","12","27","41","27","41","0","12","1500000US060014035013","Block Group 3, Census Tract 4035.01, Alameda County, California"
"790","185","644","197","476","175","19","22","0","12","114","66","0","12","0","12","35","36","0","12","35","36","146","128","28","35","44","62","0","12","0","12","0","12","33","30","41","58","41","58","0","12","1500000US060014035021","Block Group 1, Census Tract 4035.02, Alameda County, California"
"1249","274","1190","267","642","257","376","90","0","12","146","125","0","12","0","12","26","26","0","12","26","26","59","54","19","21","0","12","0","12","0","12","0","12","39","49","1","4","1","4","0","12","1500000US060014035022","Block Group 2, Census Tract 4035.02, Alameda County, California"
"1342","299","1253","285","330","147","484","252","0","12","261","221","0","12","8","13","170","166","0","12","170","166","89","107","24","47","16","26","0","12","0","12","0","12","0","12","49","86","33","58","16","28","1500000US060014036001","Block Group 1, Census Tract 4036, Alameda County, California"
"1289","292","1190","281","510","191","408","158","14","23","203","145","4","7","0","12","51","72","0","12","51","72","99","79","19","24","0","12","0","12","0","12","0","12","80","78","0","12","0","12","0","12","1500000US060014036002","Block Group 2, Census Tract 4036, Alameda County, California"
"1703","365","1420","329","589","169","418","281","0","12","268","146","0","12","49","80","96","61","0","12","96","61","283","199","158","120","15","26","0","12","0","12","0","12","103","159","7","13","7","13","0","12","1500000US060014036003","Block Group 3, Census Tract 4036, Alameda County, California"
"1224","228","1059","173","704","147","79","82","0","12","170","113","0","12","82","80","24","34","0","12","24","34","165","116","139","110","17","28","0","12","0","12","0","12","0","12","9","15","9","15","0","12","1500000US060014037011","Block Group 1, Census Tract 4037.01, Alameda County, California"
"1273","235","1198","235","627","231","381","161","0","12","138","86","0","12","0","12","52","57","17","44","35","36","75","57","42","41","18","28","0","12","0","12","0","12","15","25","0","12","0","12","0","12","1500000US060014037012","Block Group 2, Census Tract 4037.01, Alameda County, California"
"661","229","575","203","371","137","111","164","0","12","49","59","10","16","0","12","34","40","0","12","34","40","86","65","25","26","0","12","0","12","19","32","0","12","42","48","0","12","0","12","0","12","1500000US060014037021","Block Group 1, Census Tract 4037.02, Alameda County, California"
"1308","185","1263","180","842","207","101","60","0","12","233","143","17","29","0","12","70","69","0","12","70","69","45","59","37","57","0","12","0","12","0","12","0","12","3","14","5","10","0","12","5","10","1500000US060014037022","Block Group 2, Census Tract 4037.02, Alameda County, California"
"508","158","502","158","287","93","24","25","0","12","133","82","0","12","0","12","58","61","0","12","58","61","6","9","0","12","0","12","0","12","0","12","0","12","0","12","6","9","0","12","6","9","1500000US060014038001","Block Group 1, Census Tract 4038, Alameda County, California"
"838","238","754","227","550","239","54","61","0","12","150","81","0","12","0","12","0","12","0","12","0","12","84","77","84","77","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014038002","Block Group 2, Census Tract 4038, Alameda County, California"
"835","285","505","153","324","101","120","87","0","12","15","17","0","12","11","16","35","44","0","12","35","44","330","206","177","152","152","159","0","12","0","12","0","12","1","4","0","12","0","12","0","12","1500000US060014038003","Block Group 3, Census Tract 4038, Alameda County, California"
"1364","273","1266","277","910","187","174","115","0","12","79","62","0","12","0","12","103","114","0","12","103","114","98","61","47","46","0","12","0","12","0","12","0","12","39","37","12","19","0","12","12","19","1500000US060014038004","Block Group 4, Census Tract 4038, Alameda County, California"
"1403","397","1279","395","737","187","276","262","0","12","231","175","0","12","25","32","10","17","0","12","10","17","124","75","68","62","0","12","0","12","0","12","0","12","56","60","0","12","0","12","0","12","1500000US060014039001","Block Group 1, Census Tract 4039, Alameda County, California"
"838","253","815","248","415","206","232","162","0","12","85","94","0","12","0","12","83","71","0","12","83","71","23","28","22","26","0","12","0","12","0","12","0","12","1","8","0","12","0","12","0","12","1500000US060014039002","Block Group 2, Census Tract 4039, Alameda County, California"
"1742","301","1613","301","941","266","284","115","0","12","217","109","0","12","0","12","171","92","0","12","171","92","129","72","83","71","12","18","0","12","0","12","0","12","34","53","0","12","0","12","0","12","1500000US060014039003","Block Group 3, Census Tract 4039, Alameda County, California"
"1745","262","1440","236","868","192","274","164","0","12","254","142","0","12","16","26","28","25","0","12","28","25","305","220","26","26","0","12","0","12","0","12","0","12","240","211","39","33","22","28","17","18","1500000US060014040001","Block Group 1, Census Tract 4040, Alameda County, California"
"1053","147","942","149","711","153","60","36","0","12","102","40","0","12","0","12","69","57","0","12","69","57","111","67","37","30","9","16","0","12","0","12","0","12","33","31","32","31","10","15","22","25","1500000US060014040002","Block Group 2, Census Tract 4040, Alameda County, California"
"1401","146","1346","154","1126","163","1","3","0","12","93","60","0","12","0","12","126","86","0","12","126","86","55","44","20","21","0","12","0","12","0","12","0","12","35","38","0","12","0","12","0","12","1500000US060014041011","Block Group 1, Census Tract 4041.01, Alameda County, California"
"1411","237","1366","230","931","164","19","24","4","10","309","135","0","12","6","10","97","81","0","12","97","81","45","35","28","29","0","12","0","12","0","12","0","12","9","15","8","13","7","13","1","3","1500000US060014041012","Block Group 2, Census Tract 4041.01, Alameda County, California"
"1562","298","1503","298","1029","136","64","51","0","12","340","289","0","12","21","32","49","53","0","12","49","53","59","39","20","24","0","12","21","22","0","12","0","12","18","20","0","12","0","12","0","12","1500000US060014041021","Block Group 1, Census Tract 4041.02, Alameda County, California"
"1052","237","959","220","447","132","209","213","0","12","291","141","0","12","0","12","12","21","0","12","12","21","93","75","9","15","0","12","0","12","0","12","0","12","24","31","60","66","39","61","21","26","1500000US060014041022","Block Group 2, Census Tract 4041.02, Alameda County, California"
"932","165","868","158","682","160","35","41","0","12","89","50","4","8","0","12","58","50","0","12","58","50","64","55","64","55","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014042001","Block Group 1, Census Tract 4042, Alameda County, California"
"1373","223","1298","230","784","154","302","229","0","12","164","81","0","12","0","12","48","51","0","12","48","51","75","54","75","54","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014042002","Block Group 2, Census Tract 4042, Alameda County, California"
